S.No, Employee_ID, Employee_Name, Company_ID, Company_Name, Designation, Department 
1,1,CTS1,14,CTS,Infra,QA
2,2,CTS2,14,CTS,juniorHR,HR
3,3,CTS3,14,CTS,seniorHR,HR
4,4,CTS4,14,CTS,SoftwareDeveloper,Dev
5,5,CTS5,14,CTS,Manager,Management
6,6,CTS6,14,CTS,Infra,QA
7,7,CTS7,14,CTS,juniorHR,HR
8,8,CTS8,14,CTS,seniorHR,HR
9,9,CTS9,14,CTS,SoftwareDeveloper,Dev
10,10,CTS10,14,CTS,Manager,Management
11,11,CTS11,14,CTS,Infra,QA
12,12,CTS12,14,CTS,juniorHR,HR
13,13,CTS13,14,CTS,seniorHR,HR
14,14,CTS14,14,CTS,SoftwareDeveloper,Dev
15,15,CTS15,14,CTS,Manager,Management
16,16,CTS16,14,CTS,Infra,QA
17,17,CTS17,14,CTS,juniorHR,HR
18,18,CTS18,14,CTS,seniorHR,HR
19,19,CTS19,14,CTS,SoftwareDeveloper,Dev
20,20,CTS20,14,CTS,Manager,Management
21,21,CTS21,14,CTS,Infra,QA
22,22,CTS22,14,CTS,juniorHR,HR
23,23,CTS23,14,CTS,seniorHR,HR
24,24,CTS24,14,CTS,SoftwareDeveloper,Dev
25,25,CTS25,14,CTS,Manager,Management
26,26,CTS26,14,CTS,Infra,QA
27,27,CTS27,14,CTS,juniorHR,HR
28,28,CTS28,14,CTS,seniorHR,HR
29,29,CTS29,14,CTS,SoftwareDeveloper,Dev
30,30,CTS30,14,CTS,Manager,Management
31,31,CTS31,14,CTS,Infra,QA
32,32,CTS32,14,CTS,juniorHR,HR
33,33,CTS33,14,CTS,seniorHR,HR
34,34,CTS34,14,CTS,SoftwareDeveloper,Dev
35,35,CTS35,14,CTS,Manager,Management
36,36,CTS36,14,CTS,Infra,QA
37,37,CTS37,14,CTS,juniorHR,HR
38,38,CTS38,14,CTS,seniorHR,HR
39,39,CTS39,14,CTS,SoftwareDeveloper,Dev
40,40,CTS40,14,CTS,Manager,Management
41,41,CTS41,14,CTS,Infra,QA
42,42,CTS42,14,CTS,juniorHR,HR
43,43,CTS43,14,CTS,seniorHR,HR
44,44,CTS44,14,CTS,SoftwareDeveloper,Dev
45,45,CTS45,14,CTS,Manager,Management
46,46,CTS46,14,CTS,Infra,QA
47,47,CTS47,14,CTS,juniorHR,HR
48,48,CTS48,14,CTS,seniorHR,HR
49,49,CTS49,14,CTS,SoftwareDeveloper,Dev
50,50,CTS50,14,CTS,Manager,Management
51,51,CTS51,14,CTS,Infra,QA
52,52,CTS52,14,CTS,juniorHR,HR
53,53,CTS53,14,CTS,seniorHR,HR
54,54,CTS54,14,CTS,SoftwareDeveloper,Dev
55,55,CTS55,14,CTS,Manager,Management
